island shipper


	
range moss1

	play $0
	reward $200
	
	round
		rock 8 a8
		wait

		balloon b1
		balloon b8
		wait 2000

		rock
		rock
		wait 1500
		rock
		rock
		wait

		ammo c8

		rock 1 a2
		wait 0
		rock 2 a2
		wait 0
		rock 3 a2

		wait


		pace-normal
		rock 4 a7
		wait
		rock 1 a4
		wait
		rock 7 a4
		wait

		rock 5 a1
		rock 6 a1
		rock 7 a1
		wait

		rock 5 a7
		rock 6 a7
		rock 7 a7
		wait


		clear
		pineapples
		pineapple 2 a2
		pineapple 5 a5
		pineapple 8 a8
range moss5
	play $0
	reward $2,000
	round
		hold out 10000
		no-lives
		#balloon b1
		#balloon b8
		balloon b2
		balloon b3

		balloon b6
		balloon b7

		balloon a4
		balloon a5
		balloon c4
		balloon c5
		balloon a8
		balloon c8
		balloon a1
		balloon c1

		ammo

		pace-slow
		rock-grey 1 a1
		wait
		rock-grey 2 a2
		wait
		rock-grey 3 a3
		wait
		rock 4 a4
		wait

		#pineapple b9 b5
		#wait 2000

		balloon b1
		balloon b8
		sfx-play oasisWorld -28.0
		wait 1000

		#2
		pace-slow
		rock-grey 4 b4
		wait 0
		rock-grey 5 b5
		wait

		rock-grey 2 a2
		wait 0
		rock-grey 3 a3
		wait

		rock-grey 2 c2
		wait 0
		rock-grey 3 c3
		wait

		rock 2 a2
		wait 0
		rock-grey 3 a3
		wait

		rock 2 c2
		wait 0
		rock-grey 3 c3
		wait

		rock 2 a2
		wait 0
		rock-grey 3 a3
		wait 1000
		rock 3 a6
		wait

		rock 2 c2
		wait 0
		rock-grey 3 c3
		wait 1000
		rock 7 a3
		wait

		ammo b4
		balloon-rest

		rock 4 a4
		wait

		pace-slow
		rock-grey 1 a1
		wait 1500
		rock 2 a2
		wait 1500
		rock-grey 3 a3
		wait 1500
		rock 4 a4
		wait

		rock-grey  8 a8
		wait 1000
		rock 7 a7
		wait 1000
		rock-grey 6 a6
		wait 1000
		rock 5 a5
		wait 1000
		rock-grey 4 a4
		wait

		ammo b4
		balloon-rest

		sfx-faster oasisWorld
		# PART 2 - SPARSE PAIRS - make them go faster and faster

		pace-normal
		rock-grey 3 a3
		wait 0
		rock-grey 6 a6
		wait

		rock-grey 3 a3
		wait 0
		rock-grey 6 a6
		wait

		rock-grey 3 a3
		wait 0
		rock-grey 6 a6
		wait

		rock-grey 3 b3
		wait 0
		rock-grey 6 b6
		wait

		rock-grey 3 b3
		wait 0
		rock-grey 6 b6
		wait

		rock-grey 3 b3
		wait 0
		rock-grey 6 b6
		wait

		pace-slow
		rock-grey 3 c3
		wait 0
		rock-grey 6 c6
		wait

		rock-grey 3 c3
		wait 0
		rock-grey 6 c6
		wait

		rock-grey 3 c3
		wait 0
		rock-grey 6 c6
		wait

		pace-normal
		rock 3 a3
		wait 0
		rock 6 a6
		wait

		ammo b4
		balloon-rest
		clear

		pineapples
		pineapple 2 a2
		pineapple 5 a5
		pineapple 8 a8
range moss11

	play $0
	reward $100,000
	round



		ammo c1
		ammo c2
		ammo c7
		ammo c8

		threat b6

		rock 4 a4
		wait
		rock 2 a1
		wait 450
		rock 3 a2
		wait 450
		rock 4 a3
		wait 450
		rock 5 a4
		wait 450
		rock 6 a5
		wait 450
		rock 6 a5
		wait 450
		rock 7 a6
		wait 450
		rock 8 a7
		wait

		rock 2 a1
		wait 450
		rock 3 a2
		wait 450
		rock 4 a3
		wait 450
		rock 5 a4
		wait 450
		rock 6 a5
		wait 450
		rock 6 a5
		wait 450
		rock 7 a6
		wait 450
		rock 8 a7
		wait

		rock 2 a1
		wait 450
		rock 3 a2
		wait 450
		rock 4 a3
		wait 450
		rock 5 a4
		wait 450
		rock 6 a5
		wait 450
		rock 6 a5
		wait 450
		rock 7 a6
		wait 450
		rock 8 a7
		wait

		pineapples
		pineapple 1 a1
range moss12

	play $0
	reward $1,000

	round
		#hold out 30000
		#1
		no-lives
		#collector 1 c1 c2 c3 c4 c5 c6 c7 c8 slow
		#threat-small 1 c1 c2 c3 c4 c5 c6 c7 c8 slow

		rock-grey ? a4
		rock-grey ? a4
		rock-grey ? a4
		wait

		rock-grey ? a1
		rock-grey ? a1
		rock-grey ? a1
		wait


		rock-grey ? a8
		rock-grey ? a8
		rock-grey ? a8
		wait



		pace-slow
		rock 4 a4
		wait
		rock 1 a1
		wait
		rock 8 a8
		wait


		#balloon-rest
		#balloon a1
		#wait 700
		#balloon a8
		#wait 1500

		#2
		pace-slow
		rock 1 a1
		wait
		rock 8 a8
		wait
		rock 1 a1
		wait
		rock 8 a8
		wait
		rock 1 a1
		wait
		rock 8 a8
		wait
		rock 4 a4
		wait
		#balloon a4
		wait 2000

		pace-slow
		rock 1 a1
		wait 50
		rock 2 a2
		wait 50
		rock 3 a3
		wait 50
		rock 4 a4

		wait
		rock 8 a8
		wait 50
		rock 7 a7
		wait 50
		rock 6 a6
		wait 50
		rock 5 a5
		wait 50
		rock 4 a4
		wait


		pineapples
		pineapple 5 a5
		clear


















		#hold out 150000
		#1
		no-lives

		#threat-small 1 c1 c2 c3 c4 c5 c6 c7 c8 slow

		rock-grey ? a4
		rock-grey ? a4
		rock-grey ? a4
		wait


		rock-grey ? a1
		rock-grey ? a1
		rock-grey ? a1
		wait


		rock-grey ? a8
		rock-grey ? a8
		rock-grey ? a8
		wait








		#sfx-play USERSONG166 -35.0
		sfx-play Windmill_YokoKanno -55.0
		#ammo

		#threat 1 a1 a8 c8 c1 fast


		pace-slow
		#rock-grey 4 a4
		#wait
		rock 1 a1
		wait
		rock 8 a8
		wait


		#balloon-rest
		#balloon a1
		#wait 700
		#balloon a8
		#wait 1500

		#2
		pace-slow
		rock 1 a1
		wait
		rock 8 a8
		wait
		rock 1 a1
		wait
		rock 8 a8
		wait
		rock 1 a1
		wait
		rock 8 a8
		wait
		rock 4 a4
		wait
		#balloon a4
		wait 2000

		pace-slow
		rock 1 a1
		wait 50
		rock 2 a2
		wait 50
		rock 3 a3
		wait 50
		rock 4 a4

		wait
		rock-grey 8 a8
		wait 50
		rock-grey 7 a7
		wait 50
		rock-grey 6 a6
		wait 50
		rock-grey 5 a5
		wait 50
		rock 4 a4
		wait


		wait 30000

		pineapples
		pineapple 5 a5
		clear
		round
		hold out 180000
		pace-impossible

		threat 1 a1
		threat 8 a8
		threat c1 c8 c1 fast

		#sfx-play star_wars_cantina -40.0
		#sfx-play sephiroff -45.0
		ammo

		ammo c1
		ammo a1

		rock 4 a4
		wait


		rock 2 a1
		wait 450
		rock 3 a2
		wait 450
		rock 4 a3
		wait 450
		rock 5 a4
		wait 450
		rock 6 a5
		wait 450
		rock 6 a5
		wait 450
		rock 7 a6
		wait 450
		rock 8 a7
		wait
		ammo
		balloon-rest

		rock 8 a7
		wait 350
		rock 7 a6
		wait 350
		rock 6 a5
		wait 350
		rock 5 a4
		wait 350
		rock 4 a3
		wait 350
		rock 3 a2
		wait 350
		rock 2 a1
		wait 350
		rock-stay 1 a8
		wait

		ammo
		balloon-rest
		clear threat 
		wait 1000
		rock 1 a4
		wait 2500

		rock 4 a1
		wait 1500
		rock 4 a8
		wait 1500

		rock
		rock
		wait 3000
		rock
		rock
		wait 3000

		rock
		rock
		wait 1500
		rock
		rock
		wait

		wait 3000

		ammo
		balloon-rest

		sfx-faster sephiroff

		rock 1 a1
		wait 0
		rock 2 a2
		wait 0
		rock 3 a3

		wait 3000

		rock-avoider 1 a1
		rock-avoider 8 a8

		wait 3000
		rock
		wait 2000

		rock-avoider 1 a1
		rock-avoider 8 a8

		wait 3000
		rock-avoider 1 a1
		rock-avoider 8 a8
		rock
		wait 3000

		rock
		wait 2000

		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000

		rock-avoider 1 a1

		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		rock-avoider 1 a1
		wait 2000
		rock
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000
		rock
		rock
		wait

		sfx-faster sephiroff
		ammo c1
		ammo a1
		balloon-rest
		wait 2000

		rock-avoider 1 a1

		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		rock-avoider 1 a1
		wait 2000
		rock
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000

		rock-avoider 1 a1

		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		rock-avoider 1 a1
		wait 2000
		rock
		rock
		rock
		wait 2000


		ammo
		balloon-rest

		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		rock-avoider 4 a4
		wait 2000
		rock
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000


		rock
		wait
		rock-avoider 1 a1
		wait 500
		rock-avoider 2 a2
		wait 500
		rock-avoider 1 b1
		wait 500
		rock-avoider 2 b2
		wait 500
		rock-avoider 1 c1
		wait 500
		rock-avoider 2 c2
		wait 1000
		rock 4 a4
		wait

		ammo
		balloon-rest

		rock 4 a4
		wait 2000
		rock 1 a4
		wait 2500

		rock 4 a1
		wait 1500
		rock 4 a8
		wait 1500

		rock
		rock
		wait 3000
		rock
		rock
		wait 3000

		rock
		rock
		wait 1500
		rock
		rock

		wait

		sfx-faster sephiroff
		ammo c1
		ammo a1
		balloon-rest

		rock 1 a1
		wait 0
		rock 2 a2
		wait 0
		rock 3 a3

		wait 3000

		rock-avoider 1 a1
		rock-avoider 8 a8

		wait 3000
		rock
		wait 2000

		rock-avoider 1 a1
		rock-avoider 8 a8

		wait 3000
		rock-avoider 1 a1
		rock-avoider 8 a8
		rock
		wait 3000

		rock
		wait 3000

		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6

		wait 1000
		rock-avoider 1 a8
		wait 2000


		ammo
		balloon-rest

		rock
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000

		wait 1000

		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		rock-avoider 1 a8
		wait 2000
		rock
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000

		rock-avoider 1 a7

		ammo
		balloon-rest

		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		rock-avoider 1 a1
		wait 2000
		rock
		rock
		rock
		wait 2000
		rock
		rock
		rock


		ammo
		balloon-rest

		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		rock-avoider 1 a8
		wait 2000
		rock
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000
		rock

		wait 4000

		ammo

		pineapples
		pineapple 1 a1
		pineapple 2 a2
		pineapple 3 a3
		pineapple 4 a4
		pineapple 5 a5































		#hold out 30000
		#1
		no-lives
		collector 1 c1 c2 c3 c4 c5 c6 c7 c8 slow
		#threat-small 1 c1 c2 c3 c4 c5 c6 c7 c8 slow

		rock-grey ? a4
		rock-grey ? a4
		rock-grey ? a4
		wait

		rock-grey ? a1
		rock-grey ? a1
		rock-grey ? a1
		wait


		rock-grey ? a8
		rock-grey ? a8
		rock-grey ? a8
		wait



		pace-slow
		rock 4 a4
		wait
		rock 1 a1
		wait
		rock 8 a8
		wait


		#balloon-rest
		#balloon a1
		#wait 700
		#balloon a8
		#wait 1500

		#2
		pace-slow
		rock 1 a1
		wait
		rock 8 a8
		wait
		rock 1 a1
		wait
		rock 8 a8
		wait
		rock 1 a1
		wait
		rock 8 a8
		wait
		rock 4 a4
		wait
		#balloon a4
		wait 2000

		pace-slow
		rock 1 a1
		wait 50
		rock 2 a2
		wait 50
		rock 3 a3
		wait 50
		rock 4 a4

		wait
		rock 8 a8
		wait 50
		rock 7 a7
		wait 50
		rock 6 a6
		wait 50
		rock 5 a5
		wait 50
		rock 4 a4
		wait


		pineapples
		pineapple 5 a5
		clear


















		#hold out 150000
		#1
		no-lives

		#threat-small 1 c1 c2 c3 c4 c5 c6 c7 c8 slow

		rock-grey ? a4
		rock-grey ? a4
		rock-grey ? a4
		wait


		rock-grey ? a1
		rock-grey ? a1
		rock-grey ? a1
		wait


		rock-grey ? a8
		rock-grey ? a8
		rock-grey ? a8
		wait








		#sfx-play USERSONG166 -35.0
		sfx-play Windmill_YokoKanno -55.0
		#ammo

		#threat 1 a1 a8 c8 c1 fast


		pace-slow
		#rock-grey 4 a4
		#wait
		rock 1 a1
		wait
		rock 8 a8
		wait


		#balloon-rest
		#balloon a1
		#wait 700
		#balloon a8
		#wait 1500

		#2
		pace-slow
		rock 1 a1
		wait
		rock 8 a8
		wait
		rock 1 a1
		wait
		rock 8 a8
		wait
		rock 1 a1
		wait
		rock 8 a8
		wait
		rock 4 a4
		wait
		#balloon a4
		wait 2000

		pace-slow
		rock 1 a1
		wait 50
		rock 2 a2
		wait 50
		rock 3 a3
		wait 50
		rock 4 a4

		wait
		rock-grey 8 a8
		wait 50
		rock-grey 7 a7
		wait 50
		rock-grey 6 a6
		wait 50
		rock-grey 5 a5
		wait 50
		rock 4 a4
		wait


		wait 30000

		pineapples
		pineapple 5 a5
		clear

range moss13
	round
		hold out 30000
		#1

		ammo
		wait 1000

		# PART 2 - SPARSE PAIRS
		pace-slow
		rock-rico 3 a3
		wait 0
		rock 5 a5
		wait

		rock-rico 3 a3
		wait 0
		rock 5 a5
		wait

		rock-rico 3 a3
		wait 0
		rock 5 a5
		wait

		balloon a4
		balloon b4
		wait 1000

		rock 3 a3
		wait 0
		rock-rico 5 a5
		wait

		rock 3 b3
		wait 0
		rock-rico 5 b5
		wait

		rock 3 b3
		wait 0
		rock-rico 5 b5
		wait

		rock 3 b3
		wait 0
		rock-rico 5 b5
		wait

		balloon a4
		balloon b4
		balloon c4
		wait 1000

		rock 3 b3
		wait 0
		rock-rico 5 b5
		wait

		ammo c1

		rock 3 b3
		wait 0
		rock-rico 5 b5
		wait

		rock-rico 3 c3
		wait 0
		rock 5 c5
		wait

		rock 3 b3
		wait 0
		rock-rico 5 b5
		wait

		rock-rico 3 a3
		wait 0
		rock 5 a5

		wait
		clear
		pineapples
		rock-pineapple 3 y12
		rock-pineapple 5 y18

		balloon-rest



		#This is the ricochet rock 
		#AMMO needed was 47
		ammo-unlimited
		threat b6

		pace-slow
		rock 1 b1
		wait 0
		rock-black  2 b2
		wait 0
		rock-black  3 b3
		wait 0
		rock-black  4 b4
		wait 0
		rock-black  5 b5
		wait 0
		rock-black  6 b6
		wait 0
		rock-black 7 b7
		wait 0
		rock-rico 8 b8
		wait


		pace-slow
		rock 4 b4
		wait 0
		rock-rico 8 b8
		wait

		wait 500
		rock-rico 8 b8
		wait 0
		rock 1 b1
		wait
		wait 500

		rock 8 a8
		wait 0
		rock-rico 1 a1
		wait

		wait 500

		rock 8 a8
		wait 0
		rock 4 a4
		wait 0
		rock-rico 1 a1
		wait




		#define yellow1
		#rock
		#wait
		#end

		#run yellow1
		#run yellow2
		#run yellow3


		# This one has no breaks, a constant rhythm that progressively gets faster.
		# It also has a pattern of 3 blacks and then a mix up round.

		no-lives
		#ammo-unlimited

		ammo c6
		ammo c7
		ammo c8
		ammo c1
		ammo c2
		ammo c3

		ammo b6
		ammo b7
		ammo b8
		ammo b1
		ammo b2
		ammo b3


		sfx-play c418 -45.0

		# Phase 1 - slow
		pace-slow
		rock-black 2 b2
		wait 1000
		rock-black 7 b7
		wait 1000
		rock-black 4 b4
		wait 1000


		#Mix up
		rock-black 2 b2
		wait 1000
		rock-rico 7 b7
		wait 1000
		rock 4 b4
		wait 1000


		rock-black 2 b2
		wait 1000
		rock-black 7 b7
		wait 1000
		rock-black 4 b4
		wait 1000


		#Mix up
		rock-rico 2 b2
		wait 1000
		rock-black 7 b7
		wait 1000
		rock 4 b4
		wait 1000



		#pace-normal
		rock-black 2 b2
		wait 1000
		rock-black 7 b7
		wait 1000
		rock-black 4 b4
		wait 1000

		#Mix up
		rock 2 b2
		wait 1000
		rock-rico 7 b7
		wait 1000
		rock-black 4 b4
		wait 1000


		#3 yellow rocks two
		rock 1 a5
		wait 0
		rock 2 a5
		wait 0
		rock 7 a5
		wait 0

		rock-black 2 b2
		wait 1000
		rock-black 7 b7
		wait 1000
		rock-black 4 b4
		wait 1000


		#Mix up
		rock-black 2 b2
		wait 1000
		rock 7 b7
		wait 1000
		#3 yellow rocks two
		rock 1 a3
		wait 0
		rock 2 a3
		wait 0
		rock 7 a3
		wait 0

		rock-black 4 b4
		wait 1000






		#pace-fast
		rock-black 2 b2
		wait 1000
		rock-black 7 b7
		wait 1000
		rock-black 4 b4
		wait 1000

		#Mix up
		rock-black 2 b2
		wait 1000
		rock-rico 7 b7
		wait 1000
		#3 yellow rocks three
		rock 1 a7
		wait 0
		rock 2 a7
		wait 0
		rock 7 a7
		wait 0

		wait 2000





		# PHASE 2
		pace-faster
		rock-black 2 b2
		wait 1000
		rock-black 7 b7
		wait 1000
		rock-black 4 b4
		wait 1000

		rock-black 2 b2
		wait 1000
		rock-black 7 b7
		wait 1000
		rock-black 4 b4
		wait 1000

		rock-black 2 b2
		wait 1000
		rock-black 7 b7
		wait 1000
		rock-black 4 b4
		wait 1000

		#Mix up
		rock 2 b2
		wait 1000
		rock-rico 7 b7
		wait 1000
		rock-black 4 b4
		wait 1000


		#3 yellow rocks two
		pace-normal
		rock 1 a5
		wait 0
		rock 2 a5
		wait 0
		rock 7 a5
		wait 0

		pace-faster
		rock-black 2 b2
		wait 1000
		rock-black 7 b7
		wait 1000
		rock-black 4 b4
		wait 1000


		#Mix up
		rock-black 2 b2
		wait 1000
		rock 7 b7
		wait 1000
		#3 yellow rocks two
		pace-normal
		rock 1 a3
		wait 0
		rock 2 a3
		wait 0
		rock 7 a3
		wait 0

		pace-faster
		rock-black 4 b4
		wait 1000
		rock-black 2 b2
		wait 1000
		rock-black 7 b7
		wait 1000
		rock-black 4 b4
		wait 1000

		#Mix up
		rock-black 2 b2
		wait 1000
		rock-rico 7 b7
		wait 1000
		#3 yellow rocks three
		pace-normal
		rock 1 a7
		wait 0
		rock 2 a7
		wait 0
		rock 7 a7
		wait 


		#PHASE 3


		wait 3000
		rock 7 a2
		wait
		wait 2000


		pace-impossible
		rock-black 2 b2
		wait 1000
		rock-black 7 b7
		wait 1000
		rock-black 4 b4
		wait 1000

		rock-black 2 b2
		wait 1000
		rock-black 7 b7
		wait 1000
		rock-black 4 b4
		wait 1000

		rock-black 2 b2
		wait 1000
		rock-black 7 b7
		wait 1000
		rock-black 4 b4
		wait 1000

		#Mix up
		rock 2 b2
		wait 1000
		rock 7 b7
		wait 1000
		rock-black 4 b4
		wait 1000

		#3 yellow rocks two
		pace-normal
		rock 1 a5
		wait 0
		rock 2 a5
		wait 0
		rock 8 a5
		wait

		# RIGHT HERE THE BUG HAPPENS

		wait 3000
		rock 7 a2
		wait 4000

		pace-faster
		rock-black 2 c2
		wait 250
		rock-black 7 c7
		wait 250
		rock-black 4 c4
		wait 250

		rock-black 2 c2
		wait 250
		rock-black 7 c7
		wait 250
		rock-black 4 c4
		wait 250


		rock-black 7 c7
		wait 250
		rock-black 4 c4
		wait 250

		rock-ammo 2 b2
		wait 250


		# Start final phase
		rock 8 a4
		wait 2000



		pace-impossible
		rock-black 2 b2
		wait 500
		rock-black 7 b7
		wait 500
		rock-black 4 b4
		wait 500
		rock-black 2 b2
		wait 500
		rock-black 7 b7
		wait 500
		rock-black 4 b4
		wait 500
		rock-black 7 b7
		wait 500
		rock-black 2 b2
		wait 500
		rock-black 4 b4
		wait 500
		rock-black 7 b7
		wait 500
		rock-black 2 b2
		wait 500
		rock 4 b4
		wait 500
		rock-black 7 b7
		wait 500
		rock-black 2 b2
		wait 500
		rock-black 4 b4
		wait 500
		rock-black 7 b7
		wait 500
		rock-black 2 b2
		wait 500
		pace-normal
		rock-black 4 a4
		wait 500


		#3 yellow rocks three
		pace-slow
		rock 1 a4
		wait 0
		rock 5 a4
		wait 0
		rock 8 a4
		wait

		pace-fast
		rock 4 y20
		wait


		pineapples
		pineapple 2 a2
		wait 1500
		pineapple 4 a4
		wait 1500
		pineapple 7 a7
