island shipper

range moss

	round
		wait

		rock 6 a2
		wait

		rock 2 a7
		wait 1000
		rock 7 a2
		wait 1000
		rock 1 a6
		wait

		balloon a2
		balloon b2
		balloon c2

		wait 2200

		#2
		rock 2 a6
		rock 6 a2
		wait

		rock 1 a6
		rock 6 a1
		wait

		wait 2000
		rock 4 a8
		rock 8 a3
		wait

		balloon a1
		balloon b1
		balloon c1
		wait 1800

		#3
		rock 4 a7
		wait 1500
		rock 8 a6
		wait 1500
		rock 6 a8
		wait 1500
		rock 8 a8
		wait 1200
		rock 6 a6
		wait 1500
		rock 8 a6
		wait 1200
		rock 8 a3
		wait 1500
		wait 1500
		rock 3 a3
		wait 100
		rock 2 a2
		wait 100
		rock 4 a4
		wait 5500

		rock 4 a7

		wait
		clear
		wait 2000
		ammo
		balloon-mult
		balloon-bank
		balloon-check
		clear ammo
